,Average House Price,INDEX Q1 1993=100,Seasonally Adjusted Index,Monthly % Change (SA),Year % Change,Latest 3 months on previous 3 months
Jan-91,"£53,052",105.8,107.1,,,
Feb-91,"£53,497",106.7,107.5,0.3%,,
Mar-91,"£52,893",105.5,106.5,-0.9%,,
Apr-91,"£53,677",107.1,107.1,0.6%,,
May-91,"£54,386",108.5,107.3,0.1%,,
Jun-91,"£55,107",109.9,108.2,0.8%,,0.4%
Jul-91,"£54,541",108.8,107.0,-1.1%,,0.4%
Aug-91,"£54,041",107.8,106.8,-0.2%,,0.3%
Sep-91,"£53,259",106.2,106.6,-0.2%,,-0.6%
Oct-91,"£53,467",106.7,106.8,0.2%,,-0.7%
Nov-91,"£53,018",105.8,107.2,0.4%,,-0.4%
Dec-91,"£53,104",105.9,106.6,-0.5%,,0.1%
Jan-92,"£51,951",103.6,104.9,-1.6%,-2.1%,-0.5%
Feb-92,"£51,850",103.4,104.2,-0.6%,-3.1%,-1.5%
Mar-92,"£51,978",103.7,104.6,0.3%,-1.7%,-2.2%
Apr-92,"£51,978",103.7,103.7,-0.9%,-3.2%,-2.0%
May-92,"£52,713",105.2,104.0,0.3%,-3.1%,-1.1%
Jun-92,"£52,906",105.5,104.0,0.0%,-4.0%,-0.7%
Jul-92,"£52,727",105.2,103.5,-0.4%,-3.3%,-0.3%
Aug-92,"£52,312",104.4,103.5,0.0%,-3.2%,-0.4%
Sep-92,"£51,097",101.9,102.3,-1.2%,-4.1%,-0.7%
Oct-92,"£50,699",101.1,101.2,-1.0%,-5.2%,-1.4%
Nov-92,"£49,602",99.0,100.2,-1.1%,-6.4%,-2.3%
Dec-92,"£49,745",99.2,99.8,-0.3%,-6.3%,-2.6%
Jan-93,"£50,075",99.9,101.1,1.3%,-3.6%,-1.9%
Feb-93,"£50,375",100.5,101.4,0.2%,-2.8%,-0.5%
Mar-93,"£50,187",100.1,100.8,-0.5%,-3.4%,0.7%
Apr-93,"£51,677",103.1,102.9,2.1%,-0.6%,1.3%
May-93,"£50,901",101.5,100.5,-2.4%,-3.4%,0.6%
Jun-93,"£52,786",105.3,104.0,3.5%,-0.2%,1.3%
Jul-93,"£52,245",104.2,102.7,-1.2%,-0.9%,0.7%
Aug-93,"£51,697",103.1,102.4,-0.3%,-1.2%,1.6%
Sep-93,"£51,177",102.1,102.4,0.0%,0.2%,0.0%
Oct-93,"£51,209",102.2,102.2,-0.2%,1.0%,-0.1%
Nov-93,"£50,614",101.0,102.0,-0.2%,2.0%,-0.8%
Dec-93,"£51,423",102.6,103.2,1.2%,3.4%,0.0%
Jan-94,"£51,621",103.0,104.3,1.1%,3.1%,0.8%
Feb-94,"£51,516",102.8,103.7,-0.6%,2.3%,1.5%
Mar-94,"£52,101",103.9,104.6,0.8%,3.8%,1.7%
Apr-94,"£51,506",102.7,102.5,-2.0%,-0.3%,0.4%
May-94,"£51,765",103.3,102.3,-0.2%,1.7%,-0.6%
Jun-94,"£51,514",102.8,101.7,-0.6%,-2.4%,-2.0%
Jul-94,"£52,121",104.0,102.6,0.9%,-0.2%,-1.3%
Aug-94,"£51,686",103.1,102.4,-0.2%,0.0%,-0.8%
Sep-94,"£51,586",102.9,103.0,0.6%,0.8%,0.6%
Oct-94,"£52,850",105.4,105.4,2.3%,3.2%,1.4%
Nov-94,"£52,085",103.9,104.7,-0.7%,2.9%,2.1%
Dec-94,"£52,092",103.9,104.5,-0.2%,1.3%,2.1%
Jan-95,"£50,901",101.5,103.0,-1.4%,-1.4%,0.4%
Feb-95,"£50,789",101.3,102.3,-0.6%,-1.4%,-1.1%
Mar-95,"£51,627",103.0,103.5,1.2%,-0.9%,-1.8%
Apr-95,"£52,063",103.9,103.5,0.0%,1.1%,-0.9%
May-95,"£52,180",104.1,103.2,-0.3%,0.8%,0.2%
Jun-95,"£51,347",102.4,101.5,-1.6%,-0.3%,-0.2%
Jul-95,"£51,623",103.0,101.8,0.3%,-1.0%,-0.9%
Aug-95,"£51,238",102.2,101.6,-0.2%,-0.9%,-1.7%
Sep-95,"£50,933",101.6,101.6,0.0%,-1.3%,-1.0%
Oct-95,"£50,807",101.4,101.2,-0.4%,-3.9%,-0.7%
Nov-95,"£50,937",101.6,102.1,0.8%,-2.2%,0.0%
Dec-95,"£50,798",101.3,101.9,-0.2%,-2.5%,0.0%
Jan-96,"£50,521",100.8,102.3,0.5%,-0.7%,0.6%
Feb-96,"£51,256",102.2,103.3,0.9%,0.9%,0.9%
Mar-96,"£51,519",102.8,103.2,-0.1%,-0.2%,1.2%
Apr-96,"£52,700",105.1,104.7,1.5%,1.2%,1.6%
May-96,"£52,909",105.5,104.7,0.0%,1.4%,1.7%
Jun-96,"£53,325",106.4,105.5,0.7%,3.9%,2.0%
Jul-96,"£53,589",106.9,105.8,0.3%,3.8%,1.5%
Aug-96,"£54,025",107.8,107.1,1.3%,5.4%,1.8%
Sep-96,"£54,334",108.4,108.2,1.0%,6.7%,2.0%
Oct-96,"£54,825",109.4,109.3,0.9%,7.9%,2.7%
Nov-96,"£55,436",110.6,110.9,1.5%,8.8%,3.1%
Dec-96,"£55,093",109.9,110.5,-0.3%,8.5%,2.9%
Jan-97,"£54,656",109.0,110.9,0.3%,8.2%,2.4%
Feb-97,"£55,621",111.0,112.2,1.2%,8.5%,1.6%
Mar-97,"£56,516",112.7,113.1,0.9%,9.7%,1.7%
Apr-97,"£57,406",114.5,114.1,0.9%,8.9%,2.1%
May-97,"£58,196",116.1,115.2,1.0%,10.0%,2.7%
Jun-97,"£59,189",118.1,117.0,1.5%,11.0%,3.0%
Jul-97,"£60,134",120.0,118.8,1.6%,12.2%,3.4%
Aug-97,"£60,581",120.9,120.1,1.1%,12.1%,3.9%
Sep-97,"£61,334",122.4,122.1,1.7%,12.9%,4.2%
Oct-97,"£61,489",122.7,122.6,0.4%,12.2%,3.9%
Nov-97,"£61,879",123.4,123.7,0.9%,11.6%,3.5%
Dec-97,"£62,037",123.8,124.6,0.7%,12.6%,2.7%
Jan-98,"£61,820",123.3,125.5,0.7%,13.1%,2.5%
Feb-98,"£62,770",125.2,126.6,0.9%,12.9%,2.3%
Mar-98,"£63,493",126.7,127.0,0.3%,12.3%,2.2%
Apr-98,"£64,301",128.3,127.8,0.7%,12.0%,2.1%
May-98,"£65,131",129.9,129.0,0.9%,11.9%,1.9%
Jun-98,"£65,871",131.4,130.0,0.8%,11.3%,2.1%
Jul-98,"£66,654",133.0,131.7,1.3%,10.8%,2.4%
Aug-98,"£66,171",132.0,131.1,-0.4%,9.2%,2.4%
Sep-98,"£65,948",131.6,131.2,0.1%,7.5%,1.9%
Oct-98,"£66,123",131.9,132.0,0.6%,7.5%,0.9%
Nov-98,"£66,150",132.0,132.3,0.2%,6.9%,0.7%
Dec-98,"£66,372",132.4,133.4,0.8%,7.0%,0.9%
Jan-99,"£66,385",132.4,134.7,1.0%,7.4%,1.5%
Feb-99,"£67,021",133.7,135.3,0.4%,6.8%,2.0%
Mar-99,"£68,308",136.3,136.5,0.9%,7.6%,2.2%
Apr-99,"£68,856",137.4,136.9,0.4%,7.1%,2.1%
May-99,"£69,933",139.5,138.5,1.1%,7.4%,2.1%
